RecordId,TopicCode,TopicName,AttendanceMode,Campus,Semester,AvailabilityNo,ClassFormat,ClassCode,ClassInstanceNo,StartDate,EndDate,Day,StartTime,EndTime,Building,Room
1,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,1,2026-03-11,2026-04-08,Wednesday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
2,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,1,2026-04-29,2026-06-10,Wednesday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
3,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,2,2026-03-10,2026-04-07,Tuesday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
4,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,2,2026-04-28,2026-06-09,Tuesday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
5,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,3,2026-03-13,2026-03-27,Friday,09:00,11:00,Info Sci & Tech,301 BYOD Computer Lab
6,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,3,2026-04-02,2026-04-02,Thursday (once-only),12:00,14:00,Info Sci & Tech,201 Computer Lab
7,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,3,2026-04-10,2026-04-10,Friday (once-only),09:00,11:00,Info Sci & Tech,301 BYOD Computer Lab
8,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,3,2026-05-01,2026-06-12,Friday,09:00,11:00,Info Sci & Tech,301 BYOD Computer Lab
9,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,4,2026-03-12,2026-04-09,Thursday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
10,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,4,2026-04-30,2026-06-11,Thursday,14:00,16:00,Info Sci & Tech,301 BYOD Computer Lab
11,COMP1002,Fundamentals of Artificial Intelligence,In person,Bedford Park,S1,1,Laboratory,Laboratory,5,2026-03-11,2026-04-08,Wednesday,12:00,14:00,Info Sci & Tech,301 BYOD Computer Lab
